分组	限制项	官方值	本仓取值(官方×95%,所有者2026-08-27定稿)	接口	官方URL	官方原句	核对日期
多维表格(bitable v1)	records/batch_create 单次条数上限	1,000 条/次	950 条/批(_BITABLE_BATCH_CREATE_MAX)	Bitable v1(唯一版本)· POST /open-apis/bitable/v1/apps/:app_token/tables/:table_id/records/batch_create	https://open.feishu.cn/document/server-docs/docs/bitable-v1/app-table-record/batch_create?lang=zh-CN	在多维表格数据表中新增多条记录，单次调用最多新增 1,000 条记录。	2026-08-27
多维表格(bitable v1)	records/batch_update 单次条数上限	1,000 条/次	950 条/批(_BITABLE_BATCH_UPDATE_MAX)	Bitable v1 · POST /open-apis/bitable/v1/apps/:app_token/tables/:table_id/records/batch_update	https://open.feishu.cn/document/server-docs/docs/bitable-v1/app-table-record/batch_update?lang=zh-CN	更新数据表中的多条记录，单次调用最多更新 1,000 条记录。	2026-08-27
多维表格(bitable v1)	records/batch_delete 单次条数上限	500 条/次(注意:与 create/update 的 1,000 不同)	475 条/批(_BITABLE_BATCH_DELETE_MAX)	Bitable v1 · POST /open-apis/bitable/v1/apps/:app_token/tables/:table_id/records/batch_delete	https://open.feishu.cn/document/server-docs/docs/bitable-v1/app-table-record/batch_delete?lang=zh-CN	- 单次调用中最多删除 500 条记录。	2026-08-27
多维表格(bitable v1)	batch_delete 请求体 records 参数的条数约束(参数级原文)	500	475 条/批(_BITABLE_BATCH_DELETE_MAX)	Bitable v1 · batch_delete 请求体 records 字段	https://open.feishu.cn/document/server-docs/docs/bitable-v1/app-table-record/batch_delete?lang=zh-CN	records | string\[\] | 是 | 删除的多条记录 ID 列表。通过[查询记录](https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/bitable-v1/app-table-record/search)接口获取。<br>**注意**：<br>单次调用中最多删除 500 条记录。<br>**示例值**：["recwNXzPQv"]	2026-08-27
多维表格(bitable v1)	多维表格接口「批量操作」通用上限 + 全成功/全失败语义	1,000 条/次;无部分成功	未采用(仅存档)	Bitable v1 全部批量接口(概述页「使用限制」节)	https://open.feishu.cn/document/server-docs/docs/bitable-v1/bitable-overview?lang=zh-CN	- 对于接口的批量操作，单次最高为 1,000 条记录，且响应状态是全部成功或者失败，不存在部分成功或失败的结果。	2026-08-27
多维表格(bitable v1)	同一多维表格的并发写建议	同时只请求 1 次写操作	同表串行锁 _table_locks	Bitable v1 全部写接口(概述页「使用限制」节)	https://open.feishu.cn/document/server-docs/docs/bitable-v1/bitable-overview?lang=zh-CN	- 为保证稳定性，建议对单一多维表格同时只请求**一次** API 写操作。	2026-08-27
多维表格(bitable v1)	batch_create / batch_update / batch_delete 接口频率限制	50 次/秒	0.15s 批间节流(_WRITE_THROTTLE_SECS)	Bitable v1 三个批量写接口的「请求」基本信息表	https://open.feishu.cn/document/server-docs/docs/bitable-v1/app-table-record/batch_create?lang=zh-CN	接口频率限制 | [50 次/秒](https://open.feishu.cn/document/ukTMukTMukTM/uUzN04SN3QjL1cDN)	2026-08-27
多维表格(bitable v1)	频控等级 9/10 的实际含义与触发后的行为	50 次/秒;超限返回 HTTP 429 + code 99991400,响应头 x-ogw-ratelimit-reset 给出等待秒数	未采用(仅存档)	飞书开放平台全局频控策略(Bitable 的「50 次/秒」链接指向此页)	https://open.feishu.cn/document/ukTMukTMukTM/uUzN04SN3QjL1cDN	超过限制阈值时，飞书会返回 HTTP 状态码 429 ，将来自该客户端的任何进一步操作限制在一段时间内，并在失败请求的响应头中返回建议的等待时间。	2026-08-27
多维表格(bitable v1)	多维表格不支持提频	不可提频	未采用(仅存档)	飞书开放平台频控策略页	https://open.feishu.cn/document/ukTMukTMukTM/uUzN04SN3QjL1cDN	[消息](https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/im-v1/introduction)、[群组](https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/group/overview)、[多维表格](https://open.feishu.cn/document/ukTMukTMukTM/uUDN04SN0QjL1QDN/bitable-overview)暂时不支持提频。	2026-08-27
多维表格(bitable v1)	查询记录(search)单次返回行数上限	500 行/次	475 行/页(_BITABLE_PAGE_SIZE)	Bitable v1 · POST /open-apis/bitable/v1/apps/:app_token/tables/:table_id/records/search	https://open.feishu.cn/document/docs/bitable-v1/app-table-record/search?lang=zh-CN	该接口用于查询数据表中的现有记录，单次最多查询 500 行记录，支持分页获取。	2026-08-27
多维表格(bitable v1)	查询记录(search)page_size 上限与默认值	最大 500,默认 20	475 行/页(_BITABLE_PAGE_SIZE)	Bitable v1 · search 查询参数 page_size	https://open.feishu.cn/document/docs/bitable-v1/app-table-record/search?lang=zh-CN	page_size | int | 否 | 分页大小。最大值为 500<br>**示例值**：10<br>**默认值**：`20`	2026-08-27
多维表格(bitable v1)	查询记录(search)接口频率限制	20 次/秒(读接口比写接口低)	未采用(仅存档)	Bitable v1 · search	https://open.feishu.cn/document/docs/bitable-v1/app-table-record/search?lang=zh-CN	接口频率限制 | [20 次/秒](https://open.feishu.cn/document/ukTMukTMukTM/uUzN04SN3QjL1cDN)	2026-08-27
多维表格(bitable v1)	search filter 复杂度:conditions 条数上限	0 ～ 50 个条件	未采用(仅存档)	Bitable v1 · search 请求体 filter.conditions	https://open.feishu.cn/document/docs/bitable-v1/app-table-record/search?lang=zh-CN	conditions | condition\[\] | 否 | 筛选条件集合<br>**数据校验规则**：<br>- 长度范围：`0` ～ `50`	2026-08-27
多维表格(bitable v1)	search filter 复杂度:单个条件 value 数组长度上限	0 ～ 10	未采用(仅存档)	Bitable v1 · search 请求体 filter.conditions[].value	https://open.feishu.cn/document/docs/bitable-v1/app-table-record/search?lang=zh-CN	value | string\[\] | 否 | 条件的值，可以是单个值或多个值的数组。不同字段类型和不同的 operator 可填的值不同。详情参考[字段目标值（value）填写说明](https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/bitable-v1/app-table-record/record-filter-guide#3e0fd644)。<br>**示例值**：["文本内容"]<br>**数据校验规则**：<br>- 长度范围：`0` ～ `10`	2026-08-27
多维表格(bitable v1)	search filter 复杂度:field_name 字符长度上限	0 ～ 1000 字符	未采用(仅存档)	Bitable v1 · search 请求体 filter.conditions[].field_name	https://open.feishu.cn/document/docs/bitable-v1/app-table-record/search?lang=zh-CN	field_name | string | 是 | 筛选条件的左值，值为字段的名称<br>**示例值**："字段1"<br>**数据校验规则**：<br>- 长度范围：`0` ～ `1000` 字符	2026-08-27
多维表格(bitable v1)	search 请求体 field_names / sort 数组长度上限	field_names 0～200;sort 0～100	未采用(仅存档)	Bitable v1 · search 请求体	https://open.feishu.cn/document/docs/bitable-v1/app-table-record/search?lang=zh-CN	field_names | string\[\] | 否 | 字段名称，用于指定本次查询返回记录中包含的字段<br>**示例值**：["字段1","字段2"]<br>**数据校验规则**：<br>- 长度范围：`0` ～ `200`	2026-08-27
多维表格(bitable v1)	filter 嵌套深度上限	仅 1 层 children,不可再嵌套	未采用(仅存档)	Bitable v1 · 记录筛选参数填写说明(search / list 共用)	https://open.feishu.cn/document/docs/bitable-v1/app-table-record/record-filter-guide?lang=zh-CN	如下示例，目前仅支持使用一层 children 参数，不支持再次嵌套使用。	2026-08-27
多维表格(bitable v1)	filter 字符串总长度上限(错误码口径)	2,000 个字符	未采用(仅存档)	Bitable v1 · 错误码 1254107 FilterLengthExceedLimit	https://open.feishu.cn/document/docs/bitable-v1/app-table-record/search?lang=zh-CN	200 | 1254107 | FilterLengthExceedLimit | Filter长度超限, 限制2,000个字符	2026-08-27
多维表格(bitable v1)	sort 字符串总长度上限(错误码口径)	1,000 个字符	未采用(仅存档)	Bitable v1 · 错误码 1254108 SortLengthExceedLimit	https://open.feishu.cn/document/docs/bitable-v1/app-table-record/search?lang=zh-CN	200 | 1254108 | SortLengthExceedLimit | Sort长度超限, 限制1,000个字符	2026-08-27
多维表格(bitable v1)	列出记录(list,旧接口)单次行数 / page_size / 频率	单次 500 行;page_size 最大 500、默认 20;20 次/秒;官方已不推荐	未采用(仅存档)	Bitable v1 · GET /open-apis/bitable/v1/apps/:app_token/tables/:table_id/records	https://open.feishu.cn/document/server-docs/docs/bitable-v1/app-table-record/list?lang=zh-CN	该接口用于列出数据表中的现有记录，单次最多列出 500 行记录，支持分页获取。 ⏎ ⏎ 该接口为历史接口，已不推荐使用。你可使用[查询记录](https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/bitable-v1/app-table-record/search)替代。	2026-08-27
多维表格(bitable v1)	列出记录(list)filter 查询串长度上限	不超过 2000 个字符	未采用(仅存档)	Bitable v1 · list 查询参数 filter	https://open.feishu.cn/document/server-docs/docs/bitable-v1/app-table-record/list?lang=zh-CN	filter | string | 否 | 筛选参数，用于指定本次查询的筛选条件<br>注意：<br>1.不支持对“人员”以及“关联字段”的属性进行过滤筛选，如人员的 OpenID。<br>2.指定筛选条件时，参数长度不超过2000个字符。	2026-08-27
多维表格(bitable v1)	列出记录(list)sort 查询串长度上限	不超过 1000 字符	未采用(仅存档)	Bitable v1 · list 查询参数 sort	https://open.feishu.cn/document/server-docs/docs/bitable-v1/app-table-record/list?lang=zh-CN	sort | string | 否 | 排序参数，用于指定本次查询返回结果的顺序<br>注意：<br>1.不支持对带“公式”和“关联字段”的表的使用。<br>2.指定排序条件时，参数长度不超过1000字符。	2026-08-27
多维表格(bitable v1)	批量获取记录(batch_get)条数上限与频率	最多 100 条;record_ids 长度范围 1～100;20 次/秒	未采用(仅存档)	Bitable v1 · POST /open-apis/bitable/v1/apps/:app_token/tables/:table_id/records/batch_get	https://open.feishu.cn/document/docs/bitable-v1/app-table-record/batch_get?lang=zh-CN	通过多个记录 ID 查询记录信息。该接口最多支持查询 100 条记录。	2026-08-27
多维表格(bitable v1)	单表字段(列)数上限 / 公式字段上限(开放平台口径)	字段 300;公式类型字段最多 100	未采用(仅存档)	Bitable v1 概述页「使用限制」资源数量表	https://open.feishu.cn/document/server-docs/docs/bitable-v1/bitable-overview?lang=zh-CN	| 字段 | 300，对于公式类型的字段，最多支持 100 个 | |	2026-08-27
多维表格(bitable v1)	单表记录数上限(开放平台口径)	开放平台不设额外限制,以租户套餐为准	未采用(仅存档)	Bitable v1 概述页「使用限制」资源数量表	https://open.feishu.cn/document/server-docs/docs/bitable-v1/bitable-overview?lang=zh-CN	| 记录 | 不同租户的最大支持数量不同，开放平台没有额外限制。你可以在多维表格数据表 UI 中点击查看。	2026-08-27
多维表格(bitable v1)	视图数 / 数据表+仪表盘数 / 高级权限角色与协作者上限(开放平台口径)	视图 200;数据表+仪表盘 100;高级权限自定义角色 30;高级权限协作者 200	未采用(仅存档)	Bitable v1 概述页「使用限制」资源数量表	https://open.feishu.cn/document/server-docs/docs/bitable-v1/bitable-overview?lang=zh-CN	| 视图 | 200 | ⏎ | 数据表+仪表盘 | 100 | ⏎ | 高级权限自定义角色 | 30 | ⏎ | 高级权限协作者 | 200 |	2026-08-27
多维表格(bitable v1)	Lark 国际站(open.larksuite.com)Bitable 限制是否一致	完全一致(同一份「使用限制」表:批量 1,000、字段 300/公式 100、视图 200、数据表+仪表盘 100)	未采用(仅存档)	Bitable v1 · open.larksuite.com 概述页	https://open.larksuite.com/document/server-docs/docs/bitable-v1/bitable-overview	- 对于接口的批量操作，单次最高为 1,000 条记录，且响应状态是全部成功或者失败，不存在部分成功或失败的结果。	2026-08-27
多维表格(bitable v1)	单元格级上限:文本字符数	最多 10 万个字符	未采用(仅存档)	Bitable v1 · 多维表格记录数据结构(字段类型 type=1)	https://open.feishu.cn/document/docs/bitable-v1/app-table-record/bitable-record-data-structure-overview?lang=zh-CN	1 | 文本、邮箱或条码。使用 <code>ui_type</code> 区分，详情参考下面 **文本、邮箱或条码** 部分的描述。 | 写入时为 string，返回时为 list of object | ... | 单个单元格内容最多 10 万个字符	2026-08-27
多维表格(bitable v1)	单元格级上限:附件数 / 关联数 / 人员数 / 选项数(开放平台口径)	附件 ≤100;单向关联 ≤500;双向关联 ≤500;人员 ≤1,000;单选选项总数 ≤20,000;多选选项总数 ≤20,000 且单元格选项 ≤1,000;群组 ≤10;电话号码 ≤64	未采用(仅存档)	Bitable v1 · 多维表格记录数据结构「限制」列	https://open.feishu.cn/document/docs/bitable-v1/app-table-record/bitable-record-data-structure-overview?lang=zh-CN	17 | 附件 | list of object | ... | 单个单元格中的附件数不能超过 100	2026-08-27
多维表格(bitable v1)	附件上传大小上限(单次直传接口)	不得超过 20 MB;size 参数最大值 20971520 字节	未采用(仅存档)	上传素材 POST /open-apis/drive/v1/medias/upload_all(多维表格附件必须先走此接口拿 file_token)	https://open.feishu.cn/document/server-docs/docs/drive-v1/media/upload_all	- 素材大小不得超过 20 MB。要上传大于 20 MB 的文件，你需使用分片上传素材相关接口。详情参考[素材概述](https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/drive-v1/media/introduction)。 ⏎ - 该接口调用频率上限为 5 QPS，10000 次/天。	2026-08-27
多维表格(bitable v1)	附件上传:分片策略与并发限制	固定 4MB 分片;上传素材相关接口不支持并发,5 QPS、10000 次/天,超限返回 1061045	未采用(仅存档)	分片上传素材-预上传 / 素材概述	https://open.feishu.cn/document/server-docs/docs/drive-v1/media/introduction	**注意事项**：上传素材相关接口不支持并发调用，且调用频率上限为 5 QPS，10000 次/天。否则会返回 1061045 错误码，可通过稍后重试解决。	2026-08-27
多维表格(bitable v1)	单个附件文件大小上限(产品侧口径)	2 GB	未采用(仅存档)	飞书帮助中心「多维表格常见上限」(产品侧,非开放平台页)	https://www.feishu.cn/hc/zh-CN/articles/485779748873	问：多维表格内支持上传多大的附件？ ⏎ 答：单个附件大小不能超过 2 GB。	2026-08-27
多维表格(bitable v1)	每个数据表附件总数上限 / 每个单元格附件数上限(产品侧口径)	数据表 20,000 个;单元格 100 个	未采用(仅存档)	飞书帮助中心「多维表格常见上限」	https://www.feishu.cn/hc/zh-CN/articles/485779748873	问：每个数据表最多可上传多少个附件？ ⏎ 答：每个数据表中的附件数量最多为 20,000 个。 ⏎ ⏎ 问：每个单元格最多支持上传多少个附件？ ⏎ 答：每个单元格的附件数量最多为 100 个。	2026-08-27
多维表格(bitable v1)	每个数据表字段(列)数上限 / 公式+查找引用总数上限(产品侧口径)	300 列;公式与查找引用合计 100 个	未采用(仅存档)	飞书帮助中心「多维表格常见上限」	https://www.feishu.cn/hc/zh-CN/articles/485779748873	问：每个数据表最多可创建多少列字段？ ⏎ 答：300 列。 ⏎ ⏎ 问：单个数据表下，公式字段和查找引用字段的总数量上限是多少？ ⏎ 答： 100 个。	2026-08-27
多维表格(bitable v1)	一个多维表格可创建的数据表数量(产品侧口径,与开放平台的 100 冲突)	300 个(数据表+仪表盘+文档 合计 300,其中文档 10)	未采用(仅存档)	飞书帮助中心「多维表格常见上限」	https://www.feishu.cn/hc/zh-CN/articles/485779748873	问：一个多维表格中可创建多少个数据表？ ⏎ 答： 300 个。 ⏎ 注：如果多维表格内同时存在数据表、仪表盘和文档，则一个多维表格内最多支持的数据表、仪表盘和文档的个数之和为 300 个，其中支持创建 10 个文档。	2026-08-27
多维表格(bitable v1)	每个视图筛选条件数上限(产品侧口径,与 API conditions 0～50 一致)	50 个	未采用(仅存档)	飞书帮助中心「多维表格常见上限」	https://www.feishu.cn/hc/zh-CN/articles/485779748873	问：每个视图最多添加几个筛选条件？ ⏎ 答：50 个。	2026-08-27
多维表格(bitable v1)	单元格内各字段类型上限(产品侧口径,人员数与开放平台的 1,000 冲突)	文本 100,000 字;人员 100 个;电话 64 位;超链接 500;附件 100;单/双向关联 500;群组 10	未采用(仅存档)	飞书帮助中心「多维表格常见上限」	https://www.feishu.cn/hc/zh-CN/articles/485779748873	答：详情见下表。 ⏎ | 字段类型 | 单个单元格内的上限 | ⏎ | 文本 | 字数不超过 100,000 字 | ⏎ | 人员（在允许多选的情况下） | 总个数不超过 100 个 | ⏎ | 电话号码 | 数字长度不超过 64 位 | ⏎ | 超链接 | 总个数不超过 500 个 | ⏎ | 附件 | 总个数不超过 100 个 | ⏎ | 单向/双向关联 | 总个数不超过 500 个 | ⏎ | 群组 | 总个数不超过 10 个 |	2026-08-27
多维表格(bitable v1)	单表记录(行)数上限:按版本的实际值	基础版/商业标准版 2,000 行 + 可免费领 1.8 万行;商业旗舰/企业版 5 万行;扩容后单表硬上限 200 万行;单个多维表格文件总行数 1,000 万行	未采用(仅存档)	飞书帮助中心「多维表格行数扩容」(产品侧;开放平台页对此只说「以租户为准」)	https://www.feishu.cn/hc/zh-CN/articles/389918352455	*使用基础版或商业标准版的用户，可以在原有 2,000 行基础上，免费额外领取 1.8 万行权益。 ⏎ *使用商业旗舰版或任一企业版的用户，可以直接解锁 5 万行权益。	2026-08-27
多维表格(bitable v1)	单表行数硬上限 / 单文件总行数硬上限	单张数据表 ≤200 万行;单个多维表格文件 ≤1,000 万行	未采用(仅存档)	飞书帮助中心「多维表格行数扩容」	https://www.feishu.cn/hc/zh-CN/articles/389918352455	注：单张数据表行数不能超过 200 万行，单个多维表格文件的总行数不能超过 1,000 万行。	2026-08-27
多维表格(bitable v1)	超行数上限后的行为	无法新增记录(写接口会失败)	未采用(仅存档)	飞书帮助中心「多维表格行数扩容」	https://www.feishu.cn/hc/zh-CN/articles/389918352455	*超出行数上限的数据表将无法新增记录。	2026-08-27
多维表格(bitable v1)	错误码 1254104 RecordAddOnceExceedLimit(单次条数超限)	1,000	未采用(仅存档)	Bitable v1 错误码表(batch_create / batch_update / search 页均列出)	https://open.feishu.cn/document/server-docs/docs/bitable-v1/app-table-record/batch_create?lang=zh-CN	200 | 1254104 | RecordAddOnceExceedLimit | 单次添加记录数量超限, 单次调用最多更新 1,000 条记录	2026-08-27
多维表格(bitable v1)	错误码 1254103 RecordExceedLimit(记录数超限)	20,000 条(与概述页「开放平台没有额外限制」口径冲突,见 notes)	未采用(仅存档)	Bitable v1 错误码表	https://open.feishu.cn/document/server-docs/docs/bitable-v1/app-table-record/batch_create?lang=zh-CN	200 | 1254103 | RecordExceedLimit | 记录数量超限, 限制20,000条	2026-08-27
多维表格(bitable v1)	错误码 1254100 / 1254101 / 1254102 / 1254105 / 1254106(资源超限类)	数据表+仪表盘 100;视图 200;文件数量超限(无数值);字段数量超限(无数值);附件过多(无数值)	未采用(仅存档)	Bitable v1 错误码表	https://open.feishu.cn/document/server-docs/docs/bitable-v1/app-table-record/batch_create?lang=zh-CN	200 | 1254100 | TableExceedLimit | 数据表或仪表盘数量超限。每个多维表格中，数据表加仪表盘的数量最多为 100 个 ⏎ 200 | 1254101 | ViewExceedLimit | 视图数量超限, 限制200个 ⏎ 200 | 1254102 | FileExceedLimit | 超限 ⏎ 200 | 1254105 | ColumnExceedLimit | 字段数量超限 ⏎ 200 | 1254106 | AttachExceedLimit | 附件过多	2026-08-27
多维表格(bitable v1)	错误码 1254130 TooLargeCell / 1254030 TooLargeResponse(体积类)	官方只给语义,未给字节数	未采用(仅存档)	Bitable v1 错误码表	https://open.feishu.cn/document/docs/bitable-v1/app-table-record/search?lang=zh-CN	200 | 1254030 | TooLargeResponse | 响应体过大 ⏎ 200 | 1254130 | TooLargeCell | 格子内容过大	2026-08-27
多维表格(bitable v1)	错误码 1254290 TooManyRequest(限流)	请求过快,稍后重试	未采用(仅存档)	Bitable v1 错误码表	https://open.feishu.cn/document/server-docs/docs/bitable-v1/app-table-record/batch_create?lang=zh-CN	200 | 1254290 | TooManyRequest | 请求过快，稍后重试	2026-08-27
多维表格(bitable v1)	错误码 1254291 Write conflict(并发写冲突)——含官方规避建议	接口间加 0.5~1 秒延迟;或写接口带 ignore_consistency_check=true	同表串行锁 _table_locks + 0.15s 批间节流	Bitable v1 错误码表(对本仓「防重/串行写」纪律直接相关)	https://open.feishu.cn/document/server-docs/docs/bitable-v1/app-table-record/batch_create?lang=zh-CN	200 | 1254291 | Write conflict | 在同一个数据表中，并发调用了读写接口或请求过快，出现冲突。请参考以下建议解决：<br>- 确保没有并发调用多维表格读写相关接口<br>- 若操作量较大，建议在接口与接口之间增加 0.5 或 1 秒的延迟，也可在报错中增加重试逻辑，确保业务的稳定性<br>- 对于写接口，可以将接口中的查询参数 `ignore_consistency_check` 设置为 true，表示在读写操作时，暂时忽略一致性检查，以提高性能	2026-08-27
多维表格(bitable v1)	错误码 1254045 FieldNameNotFound(字段名不存在)官方语义	字段名不完全匹配,或开了高级权限但调用身份缺该字段权限	未采用(仅存档)	Bitable v1 错误码表(本仓「飞书字段名只准引用 registry 字段常量」的对应报错)	https://open.feishu.cn/document/server-docs/docs/bitable-v1/app-table-record/batch_create?lang=zh-CN	200 | 1254045 | FieldNameNotFound | 字段名称不存在。请检查：<br>- 接口中字段名称和多维表格中的字段名称是否完全匹配。如果难以排查，建议你调用[列出字段](...)接口获取字段名称，因为根据表格页面的 UI 名称可能会忽略空格、换行或特殊符号等差异。<br>- 表格是否开启了高级权限但调用身份缺少对应字段的权限。	2026-08-27
多维表格(bitable v1)	错误码 1254607 Data not ready(批量过大/并发导致超时)——官方明确建议降 page_size	降低批量请求的 page_size;不要对单个数据表并发请求	未采用(仅存档)	Bitable v1 错误码表	https://open.feishu.cn/document/server-docs/docs/bitable-v1/app-table-record/batch_create?lang=zh-CN	400 | 1254607 | Data not ready, please try again later | 该报错一般是由于前置操作未执行完成，或本次操作数据太大，服务器计算超时导致。遇到该错误码时，建议等待一段时间后重试。通常有以下几种原因：<br>- **编辑操作频繁**：开发者对多维表格的编辑操作非常频繁。可能会导致由于等待前置操作处理完成耗时过长而超时的情况。多维表格底层对数据表的处理基于版本维度的串行方式，不支持并发。因此，并发请求时容易出现此类错误，不建议开发者对单个数据表进行并发请求。<br>- **批量操作负载重**：开发者在多维表格中进行批量新增、删除等操作时，如果数据表的数据量非常大，可能会导致单次请求耗时过长，最终导致请求超时。建议开发者适当降低批量请求的 page_size 以减少请求耗时。	2026-08-27
多维表格(bitable v1)	幂等键(client_token)——写操作防重的官方机制	uuidv4;冲突返回 1255006 / 1254608;格式错返回 1254037	未采用(仅存档)	Bitable v1 · batch_create / batch_update 查询参数 client_token	https://open.feishu.cn/document/server-docs/docs/bitable-v1/app-table-record/batch_create?lang=zh-CN	client_token | string | 否 | 格式为标准的 uuidv4，操作的唯一标识，用于幂等的进行更新操作。此值为空表示将发起一次新的请求，此值非空表示幂等的进行更新操作。<br>**示例值**：fe599b60-450f-46ff-b2ef-9f6675625b97	2026-08-27
多维表格(bitable v1)	错误码 1254306(套餐权益不足)	联系租户管理员申请权益	未采用(仅存档)	Bitable v1 错误码表(行数/权益超限的实际返回码之一)	https://open.feishu.cn/document/server-docs/docs/bitable-v1/app-table-record/batch_create?lang=zh-CN	403 | 1254306 | The tenant or base owner is subject to base plan limits. | 联系租户管理员申请权益	2026-08-27
多维表格(bitable v1)	官方未说明	官方未说明	未采用(仅存档)	(官方未说明,不许推断)		【官方未说明】batch_create / batch_update / batch_delete 的请求体字节大小上限(request body size)。三张接口页的「请求体」小节只有字段说明,无任何字节/MB 数值;错误码表只有 1254130 TooLargeCell「格子内容过大」和 1254030 TooLargeResponse「响应体过大」两个定性描述,均未给阈值。	2026-08-27
多维表格(bitable v1)	官方未说明	官方未说明	未采用(仅存档)	(官方未说明,不许推断)		【官方未说明】batch_create / batch_update 的 records 数组在「数据校验规则」里的长度范围(与 batch_get 的 record_ids 明确写了「长度范围:1 ～ 100」不同,两个批量写接口的 records 参数没有数据校验规则行,数值只出现在接口描述句和错误码 1254104 里)。	2026-08-27
多维表格(bitable v1)	官方未说明	官方未说明	未采用(仅存档)	(官方未说明,不许推断)		【官方未说明】单条记录(单行)的最大字节数。	2026-08-27
多维表格(bitable v1)	官方未说明	官方未说明	未采用(仅存档)	(官方未说明,不许推断)		【官方未说明】search 接口 filter 里 children 分组的数量上限(只说明「仅支持使用一层 children 参数,不支持再次嵌套使用」,没给分组个数)。	2026-08-27
多维表格(bitable v1)	官方未说明	官方未说明	未采用(仅存档)	(官方未说明,不许推断)		【官方未说明】错误码 1254102 FileExceedLimit、1254105 ColumnExceedLimit、1254106 AttachExceedLimit 的具体阈值(错误码表只写「超限」「字段数量超限」「附件过多」,数字要去概述页/帮助中心另找)。	2026-08-27
多维表格(bitable v1)	官方未说明	官方未说明	未采用(仅存档)	(官方未说明,不许推断)		【官方未说明】多维表格 v2 / v3 接口版本——开放平台的多维表格接口只有 v1(全部端点均为 /open-apis/bitable/v1/...),不存在 v2/v3,因此无版本差异可列。题目里的 v2/v3 属于电子表格(Sheets)。	2026-08-27
多维表格(bitable v1)	官方未说明	官方未说明	未采用(仅存档)	(官方未说明,不许推断)		【官方未说明】错误码 90202 / 90204 / 90221 / 90227 在任何多维表格文档页中的语义——这四个码属于电子表格(Sheets)错误码,不出现在 Bitable 的任何错误码表里。	2026-08-27
